game_id,game_date,home_team,away_team,home_win_pct,away_win_pct,home_pythagorean,away_pythagorean,home_ops,away_ops,home_era,away_era,home_fip,away_fip,home_k_rate,away_k_rate,home_bb_rate,away_bb_rate,home_iso,away_iso,home_recent_form,away_recent_form,recent_form_diff,enhanced_form_momentum,win_pct_diff,pythagorean_diff,run_diff_diff,era_diff,ops_diff,fip_diff,k_rate_diff,bb_rate_diff,iso_diff,home_field_centered,rest_advantage,bullpen_fatigue_diff,home_bullpen_fatigue,away_bullpen_fatigue,games_played_diff,quality_home_advantage,offensive_edge,home_off_def_combo,away_off_def_combo,home_score,away_score,h2h_advantage,h2h_games_sample,series_game_number,series_fatigue,stadium_run_factor,is_dome_game,cross_country_travel,seasonal_offense_boost,pitcher_era_advantage,pitcher_fip_advantage,pitcher_k_rate_advantage,pitcher_control_advantage,pitcher_experience_advantage,pitcher_quality_advantage,pitcher_combined_advantage,is_weekend_game,is_friday_game,season_fatigue_factor,late_season_boost
778869,2025-02-20,Los Angeles Dodgers,Chicago Cubs,0.5825242718446602,0.5882352941176471,0.5640623935699203,0.6204566139307914,0.774,0.77,4.28,3.87,4.27,4.25,0.216,0.1989999999999999,0.094,0.088,0.19,0.19,0.5,0.5,0.0,0.0,-0.005711022272986921,-0.05639422036087116,-51,-0.41000000000000014,0.0040000000000000036,-0.019999999999999574,0.0170000000000001,-0.006000000000000005,0.0,0.09220041005567037,0.0,0.0,0.0,0.0,0,-0.005199570242042156,-0.0016400000000000021,0.9939999999999998,1.4,4.0,12.0,0.0,0,1,0.0,0.8929999999999999,0,0.0,-0.050000000000000044,7.164999999999999,0.7549999999999999,0.44199999999999995,0.19999999999999996,1.069,0.7170583333333334,2.2059587499999993,0,0,-0.2,0
788017,2025-02-21,San Diego Padres,Seattle Mariners,0.5339805825242718,0.5339805825242718,0.5171939311277143,0.5204435477332691,0.69,0.736,3.65,3.91,3.9,4.03,0.19,0.23,0.085,0.088,0.13,0.165,0.5,0.5,0.0,0.0,0.0,-0.0032496166055547837,-5,0.26000000000000023,-0.04600000000000004,0.13000000000000034,-0.04000000000000001,0.002999999999999989,-0.035,0.10355076567780974,0.0,0.0,0.0,0.0,0,-0.0003365002876645229,-0.011960000000000021,1.54,1.3259999999999996,5.0,2.0,0.0,0,1,0.0,0.9215,0,0.0,-0.050000000000000044,0.8300000000000001,-0.1299999999999999,0.062,-0.13999999999999999,-0.188,0.1008,0.18152000000000004,0,1,-0.19444444444444445,0
787940,2025-02-21,Arizona Diamondbacks,Colorado Rockies,0.4854368932038835,0.2549019607843137,0.5135897223248415,0.2640739153286257,0.775,0.68,4.58,5.54,4.29,4.86,0.204,0.264,0.092,0.07,0.193,0.151,0.5,0.5,0.0,0.0,0.2305349324195698,0.24951580699621578,261,0.96,0.09499999999999997,0.5700000000000003,-0.060000000000000026,-0.021999999999999992,0.04200000000000001,0.18321168477492267,0.0,0.0,0.0,0.0,0,0.04571421137775113,0.09119999999999998,0.6949999999999998,-0.3600000000000003,8.0,12.0,0.0,0,1,0.0,1.04,1,0.0,-0.050000000000000044,3.005,1.2100000000000002,0.32999999999999996,-0.20500000000000002,0.37099999999999994,0.4293583333333333,1.15340375,0,1,-0.19444444444444445,0
778760,2025-02-21,Chicago Cubs,Los Angeles Dodgers,0.5882352941176471,0.5825242718446602,0.6204566139307914,0.5640623935699203,0.77,0.774,3.87,4.28,4.25,4.27,0.1989999999999999,0.216,0.088,0.094,0.19,0.19,0.9,0.1,0.8,0.0,0.005711022272986921,0.05639422036087116,51,0.41000000000000014,-0.0040000000000000036,0.019999999999999574,-0.0170000000000001,0.006000000000000005,0.0,0.08981138065914174,0.0,0.09999999999999998,0.5000000000000001,0.6000000000000001,0,0.005064842791805722,-0.0016400000000000021,1.4,0.9939999999999998,7.0,3.0,0.5,1,2,0.02,0.969,0,0.0,-0.050000000000000044,-2.3600000000000003,1.4450000000000003,-0.12,0.45999999999999996,-0.27899999999999997,0.2949,-0.13951500000000003,0,1,-0.19444444444444445,0
779055,2025-02-21,New York Yankees,Tampa Bay Rays,0.5490196078431373,0.5145631067961165,0.6097560975609756,0.570598018833313,0.787,0.728,3.89,3.85,3.95,4.22,0.226,0.22,0.099,0.081,0.201,0.148,0.5,0.5,0.0,0.0,0.034456501047020804,0.03915807872766264,42,-0.040000000000000036,0.05900000000000005,0.2699999999999996,0.006000000000000005,-0.018000000000000002,0.05300000000000002,0.09830960924504695,0.0,0.0,0.0,0.0,0,0.003849615418503299,-0.002360000000000004,1.3969999999999998,1.3780000000000001,4.0,0.0,0.0,0,1,0.0,0.9594999999999999,0,0.0,-0.050000000000000044,-0.5699999999999998,-0.6349999999999998,-0.11600000000000005,-0.049999999999999975,-0.19899999999999998,-0.23035000000000005,-0.3665024999999999,0,1,-0.19444444444444445,0
778949,2025-02-21,Kansas City Royals,Texas Rangers,0.4854368932038835,0.5145631067961165,0.4706136560069144,0.5788277918001217,0.679,0.673,3.5,3.19,3.85,3.62,0.186,0.225,0.064,0.079,0.135,0.145,0.5,0.5,0.0,0.0,-0.029126213592232997,-0.10821413579320727,-83,-0.31000000000000005,0.006000000000000005,-0.22999999999999998,-0.03900000000000001,0.015,-0.009999999999999981,0.062189234395657156,0.0,0.0,0.0,0.0,0,-0.006729754255767239,-0.001860000000000002,1.6790000000000003,1.983,5.0,2.0,0.0,0,1,0.0,0.9594999999999999,0,0.0,-0.050000000000000044,-0.615,-0.395,0.017999999999999794,-0.13,0.24099999999999994,-0.18651666666666677,-0.29637750000000007,0,1,-0.19444444444444445,0
779117,2025-02-22,Detroit Tigers,Philadelphia Phillies,0.5769230769230769,0.5686274509803921,0.5699249869163227,0.5716286769387495,0.736,0.735,3.83,3.71,3.83,3.6,0.2319999999999999,0.208,0.085,0.09,0.168,0.154,0.5,0.5,0.0,0.0,0.008295625942684737,-0.0017036900224268736,2,-0.1200000000000001,0.0010000000000000009,-0.22999999999999998,0.02399999999999991,0.0049999999999999906,0.014000000000000012,0.1096002157274053,0.0,0.0,0.0,0.0,0,-0.00018672479399061334,-0.00012000000000000022,1.4059999999999997,1.525,7.0,6.0,0.0,0,1,0.0,0.9405,0,0.0,-0.050000000000000044,-1.69,-1.045,-0.028000000000000025,-0.30000000000000004,-0.42,-0.2646666666666667,-0.77405,1,0,-0.18888888888888888,0
779103,2025-02-22,Milwaukee Brewers,Cincinnati Reds,0.5980392156862745,0.5145631067961165,0.6099994387783736,0.5386162755257543,0.708,0.714,3.58,3.91,3.9,4.14,0.21,0.228,0.089,0.088,0.133,0.148,0.5,0.5,0.0,0.0,0.083476108890158,0.07138316325261929,63,0.33000000000000007,-0.006000000000000005,0.23999999999999977,-0.018000000000000016,-0.0010000000000000009,-0.014999999999999986,0.16886923919377528,0.0,0.0,0.0,0.0,0,0.012054420469714876,-0.001980000000000002,1.6280000000000001,1.3039999999999998,8.0,7.0,0.0,0,1,0.0,0.95,0,0.0,-0.050000000000000044,-0.9299999999999999,-0.7450000000000001,0.0,0.10000000000000002,0.442,-0.2180333333333333,-0.436455,1,0,-0.18888888888888888,0
779135,2025-02-22,Baltimore Orioles,Pittsburgh Pirates,0.4411764705882353,0.4077669902912621,0.3875096566163216,0.4191702823667894,0.698,0.643,4.99,3.84,4.56,3.9,0.235,0.238,0.074,0.084,0.158,0.11,0.5,0.5,0.0,0.0,0.03340948029697316,-0.0316606257504678,-45,-1.1500000000000004,0.05499999999999994,-0.6599999999999997,-0.0030000000000000027,0.010000000000000009,0.048,0.08505544586000235,0.0,0.0,0.0,0.0,0,-0.00269290863941271,-0.06324999999999995,0.20800000000000018,1.303,5.0,10.0,0.0,0,1,0.0,0.9784999999999999,0,0.0,-0.050000000000000044,0.06000000000000005,0.06999999999999984,0.050000000000000044,-0.09000000000000001,-0.12100000000000001,0.005016666666666669,0.02975249999999998,1,0,-0.18888888888888888,0
778808,2025-02-22,Colorado Rockies,Arizona Diamondbacks,0.2549019607843137,0.4854368932038835,0.2640739153286257,0.5135897223248415,0.68,0.775,5.54,4.58,4.86,4.29,0.264,0.204,0.07,0.092,0.151,0.193,0.9,0.1,0.8,0.0,-0.2305349324195698,-0.24951580699621578,-261,-0.96,-0.09499999999999997,-0.5700000000000003,0.060000000000000026,0.021999999999999992,-0.04200000000000001,-0.05700831249604543,0.0,0.0,0.6000000000000001,0.6000000000000001,0,0.014224475097943228,0.09119999999999998,-0.3600000000000003,0.6949999999999998,9.0,3.0,0.5,1,2,0.02,1.0924999999999998,0,0.0,-0.050000000000000044,-0.6000000000000001,-0.19500000000000006,-0.025999999999999968,-0.040000000000000036,-0.7,-0.23150000000000004,-0.24467500000000003,1,0,-0.18888888888888888,0
778963,2025-02-22,Toronto Blue Jays,New York Yankees,0.5922330097087378,0.5490196078431373,0.5418170594346077,0.6097560975609756,0.745,0.787,4.09,3.89,4.27,3.95,0.173,0.226,0.088,0.099,0.15,0.201,0.5,0.9,-0.4,0.0,0.04321340186560052,-0.06793903812636792,-67,-0.19999999999999973,-0.04200000000000004,-0.3199999999999994,-0.05300000000000002,0.01100000000000001,-0.05100000000000002,0.18543026229346715,0.0,0.0,0.0,0.0,1,-0.01259795365973827,0.008399999999999996,1.1550000000000002,1.3969999999999998,6.0,4.0,0.0,0,1,0.0,0.99,1,0.0,-0.050000000000000044,-0.6600000000000001,-0.7250000000000001,0.07399999999999995,-0.13999999999999999,-0.28800000000000003,-0.1908666666666667,-0.3810800000000001,1,0,-0.18888888888888888,0
779087,2025-02-22,Miami Marlins,St. Louis Cardinals,0.4752475247524752,0.5096153846153846,0.4412522031611502,0.4978768673199845,0.707,0.718,4.48,4.25,4.1,3.86,0.208,0.203,0.078,0.0819999999999999,0.139,0.142,0.5,0.5,0.0,0.0,-0.034367859862909356,-0.05662466415883427,-52,-0.23000000000000043,-0.01100000000000001,-0.23999999999999977,0.004999999999999977,0.003999999999999906,-0.002999999999999975,0.01868021341965309,0.0,0.0,0.0,0.0,0,-0.0010577608113032054,0.002530000000000007,0.7269999999999994,0.968,7.0,6.0,0.0,0,1,0.0,0.93,1,0.0,-0.050000000000000044,0.8499999999999999,0.4299999999999997,0.050000000000000044,0.165,-0.48,0.2757083333333332,0.3961062499999999,1,0,-0.18888888888888888,0
778880,2025-02-22,Minnesota Twins,Atlanta Braves,0.4803921568627451,0.4356435643564356,0.4897388229482196,0.488181320339305,0.713,0.705,4.17,4.05,3.8,4.04,0.223,0.228,0.079,0.091,0.16,0.145,0.5,0.5,0.0,0.0,0.044748592506309526,0.0015575026089145738,1,-0.1200000000000001,0.008000000000000007,0.2400000000000002,-0.0050000000000000044,0.011999999999999997,0.015000000000000013,0.11427208692979873,0.0,0.0,0.0,0.0,0,0.0001779790735192745,-0.0009600000000000018,1.0430000000000001,1.1550000000000002,3.0,1.0,0.0,0,1,0.0,1.0,1,0.0,-0.050000000000000044,-1.8699999999999999,-0.30000000000000004,-0.020000000000000018,-0.08499999999999994,-0.6609999999999999,-0.38560833333333333,-0.61709125,1,0,-0.18888888888888888,0
778977,2025-02-22,Tampa Bay Rays,Boston Red Sox,0.5145631067961165,0.5288461538461539,0.570598018833313,0.5557264825782632,0.728,0.75,3.85,3.79,4.22,3.91,0.22,0.237,0.081,0.084,0.148,0.175,0.1,0.9,-0.8,0.0,-0.014283047050037356,0.014871536255049778,10,-0.06000000000000005,-0.02200000000000002,-0.3099999999999996,-0.016999999999999987,0.0030000000000000027,-0.026999999999999996,0.05076820022069106,0.0,0.3,0.0,0.3,0,0.0007550011301856333,0.0013200000000000024,1.3780000000000001,1.46,4.0,6.0,0.0,0,1,0.0,0.98,1,0.0,-0.050000000000000044,-0.6100000000000001,-0.08000000000000007,-0.009999999999999953,0.0050000000000000044,-0.512,-0.17442499999999994,-0.19991375000000003,1,0,-0.18888888888888888,0
778944,2025-02-22,Texas Rangers,San Francisco Giants,0.5145631067961165,0.5242718446601942,0.5788277918001217,0.5225271093233569,0.673,0.687,3.19,3.62,3.62,3.63,0.225,0.2269999999999999,0.079,0.093,0.145,0.144,0.1,0.5,-0.4,0.0,-0.009708737864077666,0.056300682476764785,42,0.43000000000000016,-0.014000000000000012,0.009999999999999787,-0.0019999999999998908,0.013999999999999999,0.0010000000000000009,0.09928482956674067,0.0,-0.3,0.3,0.0,-1,0.005589803664196775,-0.006020000000000008,1.983,1.5670000000000002,1.0,6.0,0.0,0,1,0.0,0.9974999999999999,0,0.0,-0.050000000000000044,0.385,0.10499999999999998,-0.062,0.030000000000000027,-0.24099999999999994,0.06735000000000013,0.12470250000000002,1,0,-0.18888888888888888,0
778898,2025-02-22,New York Mets,Houston Astros,0.5728155339805825,0.5825242718446602,0.5523643740308551,0.5721531022416252,0.733,0.731,3.59,3.6,3.81,3.69,0.21,0.21,0.092,0.078,0.169,0.149,0.5,0.5,0.0,0.0,-0.009708737864077666,-0.019788728210770046,-16,0.010000000000000231,0.0020000000000000018,-0.1200000000000001,0.0,-0.013999999999999999,0.020000000000000018,0.0931019248820969,0.0,0.0,0.0,0.0,0,-0.0018423686873913446,2.000000000000048e-05,1.6430000000000002,1.6309999999999998,6.0,2.0,0.0,0,1,0.0,0.9309999999999999,0,0.0,-0.050000000000000044,0.3600000000000001,0.0900000000000003,0.13600000000000023,-0.335,0.5379999999999999,0.05690833333333345,0.09798625000000018,1,0,-0.18888888888888888,0
778840,2025-02-22,Cincinnati Reds,Cleveland Guardians,0.5145631067961165,0.5,0.5386162755257543,0.4574463989005814,0.714,0.67,3.91,3.92,4.14,4.09,0.228,0.223,0.088,0.088,0.148,0.148,0.5,0.5,0.0,0.0,0.014563106796116498,0.08116987662517289,70,0.009999999999999787,0.04399999999999993,-0.04999999999999982,0.0050000000000000044,0.0,0.0,0.09730535162364606,0.0,0.0,0.0,0.0,0,0.007898263386260417,0.0004399999999999899,1.3039999999999998,1.25,6.0,3.0,0.0,0,1,0.0,1.007,0,0.0,-0.050000000000000044,4.199999999999999,2.135,0.35,0.8700000000000001,0.54,0.6765416666666666,1.8857312499999999,1,0,-0.18888888888888888,0
778867,2025-02-22,Los Angeles Dodgers,Kansas City Royals,0.5825242718446602,0.4854368932038835,0.5640623935699203,0.4706136560069144,0.774,0.679,4.28,3.5,4.27,3.85,0.216,0.186,0.094,0.064,0.19,0.135,0.1,0.9,-0.8,0.0,0.09708737864077666,0.09344873756300587,88,-0.7800000000000002,0.09499999999999997,-0.4199999999999995,0.03,-0.03,0.05499999999999999,0.1231753020612727,0.0,-0.3000000000000001,0.6000000000000001,0.3,-1,0.011510576476567847,-0.0741,0.9939999999999998,1.6790000000000003,10.0,11.0,0.0,0,1,0.0,0.8929999999999999,0,0.0,-0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-0.18888888888888888,0
778757,2025-02-22,Chicago Cubs,Chicago White Sox,0.5882352941176471,0.3592233009708738,0.6204566139307914,0.414307731826355,0.77,0.652,3.87,4.09,4.25,4.45,0.1989999999999999,0.233,0.088,0.09,0.19,0.13,0.9,0.5,0.4,0.0,0.22901199314677329,0.20614888210443644,189,0.21999999999999975,0.118,0.20000000000000018,-0.03400000000000011,0.0020000000000000018,0.06,0.20070494101131764,0.0,-0.5000000000000001,0.5000000000000001,0.0,-2,0.04137509922231999,0.02595999999999997,1.4,1.0620000000000003,7.0,3.0,0.0,0,1,0.0,0.969,0,0.0,-0.050000000000000044,1.6399999999999997,-1.0000000000000002,0.16400000000000003,0.034999999999999996,0.07,-0.08987499999999998,0.18456874999999986,1,0,-0.18888888888888888,0
778740,2025-02-22,Houston Astros,Washington Nationals,0.5825242718446602,0.4019607843137255,0.5721531022416252,0.3902439024390244,0.731,0.7,3.6,5.2,3.69,4.47,0.21,0.205,0.078,0.078,0.149,0.144,0.5,0.5,0.0,0.0,0.18056348753093465,0.18190919980260079,171,1.6,0.031000000000000028,0.7799999999999998,0.0050000000000000044,0.0,0.0050000000000000044,0.14650042679313258,0.0,0.0,0.0,0.0,0,0.026649775408678245,0.04960000000000005,1.6309999999999998,0.0,3.0,6.0,0.0,0,1,0.0,0.99,1,0.0,-0.050000000000000044,0.17499999999999982,0.5800000000000001,0.12800000000000022,0.015000000000000013,-0.43,0.16029166666666678,0.24064375000000005,1,0,-0.18888888888888888,0
779162,2025-02-22,Los Angeles Angels,Seattle Mariners,0.4757281553398058,0.5339805825242718,0.4309030323368037,0.5204435477332691,0.716,0.736,4.67,3.91,4.66,4.03,0.257,0.23,0.079,0.088,0.176,0.165,0.5,0.1,0.4,0.0,-0.05825242718446605,-0.08954051539646535,-86,-0.7599999999999998,-0.020000000000000018,-0.6299999999999999,0.026999999999999996,0.008999999999999994,0.010999999999999982,0.036061676313718594,0.0,0.3,0.0,0.3,1,-0.0032289810831908697,0.015200000000000009,0.5460000000000003,1.3259999999999996,11.0,10.0,0.0,0,1,0.0,0.9119999999999999,0,0.0,-0.050000000000000044,-1.195,-0.3599999999999999,-0.02400000000000002,-0.13000000000000045,0.349,-0.18848333333333345,-0.4413225000000001,1,0,-0.18888888888888888,0
779054,2025-02-23,New York Yankees,Detroit Tigers,0.5490196078431373,0.5769230769230769,0.6097560975609756,0.5699249869163227,0.787,0.736,3.89,3.83,3.95,3.83,0.226,0.2319999999999999,0.099,0.085,0.201,0.168,0.4501660026875221,0.9,-0.4498339973124779,0.0,-0.02790346907993957,0.039831110644652945,41,-0.06000000000000005,0.051000000000000045,-0.1200000000000001,-0.005999999999999894,-0.013999999999999999,0.033,0.10317246879450026,0.0,0.2,0.3,0.5,-1,0.004109474020035743,-0.0030600000000000054,1.3969999999999998,1.4059999999999997,0.0,4.0,0.0,0,1,0.0,0.9594999999999999,0,0.0,-0.050000000000000044,0.99,0.3949999999999998,0.09600000000000003,-0.13499999999999998,-0.732,0.21757499999999985,0.37783624999999993,1,0,-0.18333333333333332,0
778755,2025-02-23,Chicago Cubs,Texas Rangers,0.5882352941176471,0.5145631067961165,0.6204566139307914,0.5788277918001217,0.77,0.673,3.87,3.19,4.25,3.62,0.1989999999999999,0.225,0.088,0.079,0.19,0.145,0.9,0.1,0.8,0.0,0.07367218732153058,0.04162882213066976,56,-0.6800000000000002,0.09699999999999998,-0.6299999999999999,-0.026000000000000106,-0.008999999999999994,0.04500000000000001,0.13657203259928896,0.0,-0.20000000000000012,0.5000000000000001,0.3,-1,0.0056853328530998325,-0.06596,1.4,1.983,6.0,5.0,0.0,0,1,0.0,0.969,0,0.0,-0.050000000000000044,0.2200000000000002,-0.4849999999999999,-0.057999999999999996,0.085,0.52,-0.01062499999999994,-0.06669374999999991,1,0,-0.18333333333333332,0
778993,2025-02-23,San Francisco Giants,Cincinnati Reds,0.5242718446601942,0.5145631067961165,0.5225271093233569,0.5386162755257543,0.687,0.714,3.62,3.91,3.63,4.14,0.2269999999999999,0.228,0.093,0.088,0.144,0.148,0.9,0.5,0.4,0.0,0.009708737864077666,-0.01608916620239742,-16,0.29000000000000004,-0.026999999999999913,0.5099999999999998,-0.001000000000000112,-0.0050000000000000044,-0.0040000000000000036,0.1347256625027955,0.0,0.8,0.0,0.8,1,-0.0021676235757355786,-0.007829999999999976,1.5670000000000002,1.3039999999999998,5.0,2.0,0.0,0,1,0.0,0.9025,0,0.0,-0.050000000000000044,0.8250000000000002,0.7999999999999998,0.1780000000000002,0.009999999999999488,0.15199999999999989,0.4130499999999999,0.5053074999999999,1,0,-0.18333333333333332,0
778864,2025-02-23,Los Angeles Dodgers,San Diego Padres,0.5825242718446602,0.5339805825242718,0.5640623935699203,0.5171939311277143,0.774,0.69,4.28,3.65,4.27,3.9,0.216,0.19,0.094,0.085,0.19,0.13,0.1,0.9,-0.8,0.0,0.04854368932038833,0.046868462442205994,52,-0.6300000000000003,0.08400000000000007,-0.36999999999999966,0.025999999999999995,-0.008999999999999994,0.06,0.16232012443879462,0.0,-0.6,1.0,0.4,-1,0.007607694655873849,-0.05292000000000008,0.9939999999999998,1.54,8.0,3.0,0.0,0,1,0.0,0.8929999999999999,0,0.0,-0.050000000000000044,-0.11500000000000021,-0.3599999999999999,0.02799999999999997,-0.10000000000000002,0.49,-0.08816666666666673,-0.14137500000000006,1,0,-0.18333333333333332,0
