Name,ERA,IP,Age,FIP,xFIP,K_rate,BB_rate,K_9,BB_9,H_9,HR_9,last_name
Tarik Skubal,2.19,127.2,28,1.91,2.3,0.34,0.033,11.56,1.13,6.2,0.63,Skubal
Garrett Crochet,2.19,135.1,26,2.41,2.71,0.306,0.067,10.97,2.39,7.18,0.67,Crochet
Paul Skenes,1.91,127.0,23,2.4,3.09,0.278,0.063,9.71,2.2,6.02,0.43,Skenes
Zack Wheeler,2.39,128.0,35,2.68,2.56,0.33399999999999996,0.053,11.53,1.83,6.05,0.98,Wheeler
Cristopher Sanchez,2.4,124.0,28,2.69,2.75,0.267,0.064,9.73,2.32,7.48,0.58,Sanchez
Logan Webb,3.08,131.2,28,2.58,2.69,0.258,0.054000000000000006,9.57,1.98,8.89,0.62,Webb
Framber Valdez,2.67,128.0,31,2.99,3.04,0.249,0.081,9.07,2.95,7.17,0.56,Valdez
Kris Bubic,2.38,113.2,27,2.76,3.4,0.249,0.076,9.11,2.77,7.52,0.48,Bubic
Hunter Brown,2.57,119.0,26,2.99,2.9,0.312,0.078,10.89,2.72,6.2,0.91,Brown
Matthew Boyd,2.2,118.2,34,3.1,3.78,0.23199999999999998,0.052000000000000005,8.19,1.82,7.28,0.76,Boyd
Max Fried,2.62,127.1,31,3.06,3.45,0.225,0.057999999999999996,8.2,2.12,7.21,0.64,Fried
Nathan Eovaldi,1.58,91.0,35,2.37,2.73,0.27,0.04,9.3,1.38,6.23,0.49,Eovaldi
Joe Ryan,2.63,116.1,29,3.13,3.49,0.292,0.051,10.21,1.78,6.34,1.01,Ryan
Yoshinobu Yamamoto,2.55,109.1,26,3.08,3.07,0.284,0.085,10.21,3.05,6.42,0.82,Yamamoto
Jesus Luzardo,4.58,114.0,27,3.01,3.26,0.27699999999999997,0.08800000000000001,10.74,3.39,9.47,0.79,Luzardo
Jacob deGrom,2.28,118.1,37,3.25,3.19,0.26899999999999996,0.055,9.28,1.9,6.16,1.06,deGrom
Nick Pivetta,2.81,115.1,32,3.16,3.51,0.27899999999999997,0.066,9.91,2.34,6.63,1.01,Pivetta
Sonny Gray,4.33,116.1,35,3.02,2.89,0.267,0.04,9.9,1.47,9.28,1.08,Gray
MacKenzie Gore,3.59,112.2,26,3.2,3.29,0.297,0.081,11.18,3.04,8.39,1.04,Gore
Mitch Keller,3.53,125.0,29,3.42,4.05,0.187,0.057999999999999996,6.98,2.16,8.28,0.72,Keller
Jose Soriano,3.83,120.0,26,3.42,3.53,0.2,0.111,7.73,4.28,8.63,0.38,Soriano
Chris Sale,2.52,89.1,36,2.67,3.13,0.308,0.07,11.49,2.62,7.86,0.71,Sale
Andrew Abbott,2.13,97.1,26,3.42,4.11,0.223,0.063,8.14,2.31,7.49,0.92,Abbott
Ranger Suarez,2.66,88.0,29,3.07,3.61,0.22899999999999998,0.073,8.39,2.66,7.67,0.61,Suarez
Freddy Peralta,2.85,116.2,29,3.66,4.01,0.255,0.084,9.41,3.09,6.63,1.0,Peralta
Spencer Schwellenbach,3.09,110.2,25,3.21,2.92,0.249,0.040999999999999995,8.78,1.46,7.24,1.06,Schwellenbach
David Peterson,2.9,115.0,29,3.35,3.58,0.203,0.08,7.59,2.97,7.98,0.55,Peterson
Merrill Kelly,3.32,122.0,36,3.48,3.57,0.242,0.076,8.7,2.73,6.79,0.96,Kelly
Bryan Woo,2.91,120.2,25,3.53,3.56,0.243,0.046,8.58,1.64,6.86,1.19,Woo
Dylan Cease,4.59,113.2,29,3.58,3.37,0.29600000000000004,0.086,11.4,3.33,8.39,1.27,Cease
Carlos Rodon,3.1,124.2,32,3.63,3.69,0.275,0.091,10.03,3.32,6.14,1.08,Rodon
Nick Lodolo,3.08,122.2,27,3.79,3.8,0.22399999999999998,0.046,8.22,1.69,7.63,1.17,Lodolo
Luis Castillo,3.3,120.0,32,3.61,4.06,0.213,0.07200000000000001,8.03,2.7,8.48,0.9,Castillo
Michael Wacha,3.62,112.0,33,3.84,4.44,0.18100000000000002,0.07200000000000001,6.83,2.73,8.44,0.88,Wacha
Chad Patrick,3.52,94.2,26,3.54,4.05,0.23800000000000002,0.075,9.03,2.85,8.84,0.95,Patrick
Chris Bassitt,3.88,120.2,36,3.85,3.59,0.226,0.055999999999999994,8.73,2.16,9.55,1.19,Bassitt
Yusei Kikuchi,3.23,122.2,34,4.06,4.04,0.24100000000000002,0.102,9.32,3.96,8.66,1.17,Kikuchi
Dean Kremer,4.06,115.1,29,3.85,4.19,0.196,0.063,7.34,2.34,8.9,1.09,Kremer
Drew Rasmussen,2.93,95.1,29,3.59,3.47,0.221,0.062,7.74,2.17,7.08,0.94,Rasmussen
Kevin Gausman,4.01,116.2,34,3.85,4.04,0.23399999999999999,0.075,8.64,2.78,7.48,1.16,Gausman
Matthew Liberatore,4.13,100.1,25,3.51,4.01,0.19,0.052000000000000005,7.18,1.97,9.24,0.9,Liberatore
Adrian Houser,1.89,62.0,32,3.01,3.92,0.177,0.077,6.39,2.76,8.27,0.29,Houser
Randy Rodriguez,0.84,42.2,25,1.41,2.5,0.35,0.05,11.81,1.69,5.48,0.21,Rodriguez
Logan Gilbert,3.07,67.1,28,2.68,2.27,0.363,0.055999999999999994,13.1,2.0,6.82,1.2,Gilbert
Robert Suarez,3.46,41.2,34,2.23,3.46,0.267,0.073,9.5,2.59,6.7,0.22,Suarez
