team_name,runs_scored,team_obp,team_slg,team_ops,team_hrs,team_iso,team_wrc_plus,team_bb_rate,team_k_rate,wins,losses,runs_allowed,team_era,team_whip,team_k9,team_bb9,team_fip,team_h9,team_hr9,games_played,win_pct,run_diff,pythagorean_exp
Los Angeles Dodgers,546,0.329,0.444,0.774,157,0.19,116,0.094,0.21600000000000003,60,43,480,4.28,1.32,8.88,3.57,4.27,8.35,1.25,103,0.5825242718446602,66,0.5640623935699203
New York Yankees,530,0.333,0.454,0.787,163,0.201,119,0.099,0.226,56,46,424,3.89,1.23,8.95,3.45,3.95,7.64,1.1,102,0.5490196078431373,106,0.6097560975609756
Atlanta Braves,418,0.317,0.388,0.705,110,0.145,98,0.091,0.228,44,57,428,4.05,1.26,9.26,3.35,4.04,8.02,1.21,101,0.43564356435643564,-10,0.48818132033930506
Philadelphia Phillies,469,0.327,0.408,0.735,115,0.154,104,0.09,0.20800000000000002,58,44,406,3.71,1.25,9.41,2.94,3.6,8.33,1.05,102,0.5686274509803921,63,0.5716286769387495
San Diego Padres,414,0.315,0.376,0.69,88,0.13,97,0.085,0.19,55,48,400,3.65,1.24,8.65,3.38,3.9,7.77,1.02,103,0.5339805825242718,14,0.5171939311277143
Toronto Blue Jays,485,0.333,0.412,0.745,109,0.15,108,0.08800000000000001,0.17300000000000001,61,42,446,4.09,1.25,9.01,3.16,4.27,8.07,1.36,103,0.5922330097087378,39,0.5418170594346077
Boston Red Sox,510,0.322,0.427,0.75,129,0.175,104,0.084,0.237,55,49,456,3.79,1.29,8.36,3.26,3.91,8.37,1.0,104,0.5288461538461539,54,0.5557264825782632
Pittsburgh Pirates,350,0.301,0.342,0.643,68,0.11,78,0.084,0.23800000000000002,42,61,412,3.84,1.21,7.69,2.94,3.9,7.95,0.97,103,0.4077669902912621,-62,0.4191702823667894
St. Louis Cardinals,470,0.322,0.396,0.718,103,0.142,103,0.08199999999999999,0.203,53,51,472,4.25,1.29,7.5,2.74,3.86,8.85,0.99,104,0.5096153846153846,-2,0.4978768673199845
Cincinnati Reds,470,0.319,0.394,0.714,107,0.148,95,0.08800000000000001,0.228,53,50,435,3.91,1.24,8.29,3.2,4.14,8.0,1.17,103,0.5145631067961165,35,0.5386162755257543
Tampa Bay Rays,483,0.322,0.406,0.728,113,0.148,103,0.081,0.22,53,50,419,3.85,1.2,8.38,2.82,4.22,8.0,1.33,103,0.5145631067961165,64,0.570598018833313
Texas Rangers,415,0.298,0.375,0.673,110,0.145,89,0.079,0.225,53,50,354,3.19,1.16,8.13,2.84,3.62,7.58,0.9,103,0.5145631067961165,61,0.5788277918001217
Seattle Mariners,474,0.323,0.412,0.736,142,0.165,113,0.08800000000000001,0.23,55,48,455,3.91,1.27,8.35,3.08,4.03,8.32,1.12,103,0.5339805825242718,19,0.5204435477332691
Kansas City Royals,363,0.299,0.38,0.679,85,0.135,85,0.064,0.18600000000000003,50,53,385,3.5,1.22,8.2,2.98,3.85,7.97,1.03,103,0.4854368932038835,-22,0.47061365600691446
Arizona Diamondbacks,522,0.329,0.446,0.775,147,0.193,114,0.092,0.204,50,53,508,4.58,1.33,8.5,3.24,4.29,8.77,1.29,103,0.4854368932038835,14,0.5135897223248415
San Francisco Giants,431,0.311,0.376,0.687,98,0.144,96,0.09300000000000001,0.22699999999999998,54,49,412,3.62,1.27,8.64,3.25,3.63,8.18,0.87,103,0.5242718446601942,19,0.5225271093233569
Houston Astros,451,0.323,0.408,0.731,115,0.149,105,0.078,0.21,60,43,390,3.6,1.18,9.66,2.98,3.69,7.63,1.12,103,0.5825242718446602,61,0.5721531022416252
Colorado Rockies,369,0.294,0.386,0.68,99,0.151,76,0.07,0.264,26,76,616,5.54,1.57,6.76,3.53,4.86,10.59,1.37,102,0.2549019607843137,-247,0.26407391532862573
Detroit Tigers,495,0.32,0.416,0.736,129,0.168,106,0.085,0.23199999999999998,60,44,430,3.83,1.23,8.7,2.93,3.83,8.16,1.08,104,0.5769230769230769,65,0.5699249869163227
Washington Nationals,440,0.311,0.389,0.7,99,0.144,96,0.078,0.205,41,61,550,5.2,1.41,7.79,3.43,4.47,9.26,1.21,102,0.4019607843137255,-110,0.3902439024390244
Oakland Athletics,443,0.314,0.419,0.733,135,0.171,100,0.083,0.228,43,62,586,5.22,1.43,8.14,3.62,4.86,9.22,1.51,105,0.4095238095238095,-143,0.3636631489219765
Chicago White Sox,381,0.298,0.354,0.652,85,0.13,83,0.09,0.233,37,66,453,4.09,1.38,7.54,3.79,4.45,8.6,1.09,103,0.3592233009708738,-72,0.414307731826355
Los Angeles Angels,449,0.305,0.411,0.716,149,0.176,98,0.079,0.257,49,54,516,4.67,1.44,7.95,3.93,4.66,9.05,1.33,103,0.47572815533980584,-67,0.43090303233680377
Miami Marlins,431,0.315,0.392,0.707,92,0.139,96,0.078,0.20800000000000002,48,53,485,4.48,1.31,7.91,3.16,4.1,8.63,1.08,101,0.4752475247524752,-54,0.44125220316115027
Milwaukee Brewers,489,0.324,0.383,0.708,96,0.133,100,0.08900000000000001,0.21,61,41,391,3.58,1.23,8.76,3.3,3.9,7.77,1.06,102,0.5980392156862745,98,0.6099994387783736
Minnesota Twins,434,0.312,0.401,0.713,120,0.16,99,0.079,0.223,49,53,443,4.17,1.26,8.72,2.67,3.8,8.67,1.12,102,0.4803921568627451,-9,0.4897388229482196
New York Mets,451,0.322,0.411,0.733,130,0.169,109,0.092,0.21,59,44,406,3.59,1.3,8.67,3.65,3.81,8.03,0.89,103,0.5728155339805825,45,0.5523643740308551
Cleveland Guardians,393,0.298,0.372,0.67,108,0.148,88,0.08800000000000001,0.223,51,51,428,3.92,1.32,8.49,3.62,4.09,8.28,1.08,102,0.5,-35,0.4574463989005814
Chicago Cubs,537,0.324,0.446,0.77,152,0.19,116,0.08800000000000001,0.19899999999999998,60,42,420,3.87,1.22,7.56,2.69,4.25,8.32,1.27,102,0.5882352941176471,117,0.6204566139307914
