Rank,team,G,W,L,W-L%,SRS,SOS,Wconference,Lconference,Whome,Lhome,Waway,Laway,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,19,10,9,0.526,-7.48,-0.23,2,4,6,2,3,6,1357,1363,760,479,1079,0.444,109,337,0.323,290,404,0.718,232,624,264,180,59,267,384
2,Air Force,20,3,17,0.15,-13.29,2.56,0,9,3,9,0,7,1226,1543,800,429,1002,0.428,126,421,0.299,242,377,0.642,145,586,234,116,55,293,348
3,Akron,21,17,4,0.81,11.19,-1.92,8,1,11,0,4,2,1944,1586,840,716,1382,0.518,232,603,0.385,280,365,0.767,250,803,420,170,68,228,336
4,Alabama,20,14,6,0.7,23.63,13.13,4,3,7,3,3,1,1839,1629,800,610,1341,0.455,248,713,0.348,371,491,0.756,256,838,325,139,118,191,396
5,Alabama A&M,20,11,9,0.55,-12.32,-8.02,4,3,8,2,2,6,1427,1440,800,479,1109,0.432,125,389,0.321,344,468,0.735,195,710,228,122,60,241,365
6,Alabama State,20,6,14,0.3,-14.58,-4.79,3,4,2,1,3,11,1507,1637,800,522,1227,0.425,153,462,0.331,310,449,0.69,250,700,251,173,71,270,377
7,Albany (NY),21,7,14,0.333,-12.91,-4.02,3,3,5,1,1,10,1531,1551,840,586,1256,0.467,151,468,0.323,208,317,0.656,242,736,303,147,77,262,363
8,Alcorn State,19,3,16,0.158,-20.72,-1.56,2,5,1,1,1,15,1258,1622,757,465,1122,0.414,134,387,0.346,194,284,0.683,199,579,216,142,66,287,347
9,American,22,13,9,0.591,-5.58,-3.83,6,3,10,2,3,7,1672,1582,880,593,1300,0.456,197,581,0.339,289,380,0.761,204,710,307,178,37,250,410
10,Appalachian State,22,13,9,0.591,-5.04,-5.64,6,4,8,3,4,6,1588,1442,885,571,1276,0.447,176,569,0.309,270,440,0.614,271,870,285,105,84,220,358
11,Arizona,21,21,0,1.0,29.66,8.32,8,0,12,0,5,0,1882,1434,840,668,1294,0.516,129,355,0.363,417,565,0.738,273,907,384,178,94,238,339
12,Arizona State,21,11,10,0.524,9.87,10.2,2,6,6,4,1,5,1668,1675,840,564,1231,0.458,168,481,0.349,372,502,0.741,216,694,302,149,94,247,369
13,Arkansas,21,16,5,0.762,21.9,9.85,6,2,13,0,2,3,1875,1622,840,660,1325,0.498,184,486,0.379,371,496,0.748,235,772,370,164,101,203,336
14,Arkansas State,22,13,9,0.591,-2.49,-2.54,5,5,7,2,6,7,1814,1741,890,615,1364,0.451,197,605,0.326,387,505,0.766,298,876,339,170,49,315,413
15,Arkansas-Pine Bluff,20,7,13,0.35,-13.94,0.28,4,3,4,2,3,11,1569,1710,805,549,1236,0.444,158,469,0.337,313,411,0.762,216,690,321,146,63,288,421
16,Army,22,9,13,0.409,-14.67,-6.02,3,6,5,6,4,6,1639,1730,905,573,1360,0.421,239,707,0.338,254,354,0.718,258,799,336,121,29,256,396
17,Auburn,21,14,7,0.667,18.86,11.43,5,3,9,1,2,3,1787,1631,850,588,1252,0.47,164,490,0.335,447,604,0.74,283,788,282,167,94,220,359
18,Austin Peay,20,14,6,0.7,-1.05,-4.94,8,1,9,0,5,6,1607,1405,800,557,1236,0.451,179,511,0.35,314,427,0.735,227,728,328,215,51,223,337
19,Ball State,20,7,13,0.35,-11.05,-3.82,3,5,5,4,1,8,1358,1395,800,479,1132,0.423,140,448,0.313,260,372,0.699,191,633,253,154,55,209,313
20,Baylor,20,11,9,0.55,14.39,8.71,1,7,8,4,1,4,1701,1530,800,598,1240,0.482,169,476,0.355,336,469,0.716,268,792,328,134,95,237,324
21,Bellarmine,21,8,13,0.381,-10.37,-3.21,3,6,5,3,2,10,1666,1724,850,588,1147,0.513,164,458,0.358,326,420,0.776,136,592,310,135,30,225,337
22,Belmont,22,19,3,0.864,9.12,-1.36,9,2,8,2,9,1,1810,1543,885,653,1274,0.513,219,558,0.392,285,423,0.674,204,830,391,141,79,293,379
23,Bethune-Cookman,20,9,11,0.45,-9.48,-1.42,6,1,6,1,3,8,1492,1604,810,530,1165,0.455,127,370,0.343,305,438,0.696,201,692,278,149,92,264,361
24,Binghamton,22,4,18,0.182,-22.5,-9.28,0,7,4,6,0,11,1480,1670,905,501,1119,0.448,109,363,0.3,369,494,0.747,161,702,252,120,74,292,369
25,Boise State,21,13,8,0.619,13.74,8.0,5,5,8,3,3,3,1649,1515,860,547,1215,0.45,170,502,0.339,385,505,0.762,225,769,291,110,46,247,374
26,Boston College,20,9,11,0.45,2.15,2.1,2,5,8,3,1,5,1364,1363,820,470,1169,0.402,152,511,0.297,272,410,0.663,221,757,228,99,98,210,340
27,Boston University,22,8,14,0.364,-9.84,-6.65,3,6,5,5,2,9,1646,1666,905,586,1210,0.484,203,534,0.38,269,381,0.706,188,704,320,112,75,265,382
28,Bowling Green State,21,13,8,0.619,3.46,-2.65,4,5,7,5,4,3,1803,1498,845,640,1293,0.495,153,439,0.349,370,502,0.737,226,755,329,229,72,244,371
29,Bradley,22,14,8,0.636,2.5,-0.55,7,4,10,2,2,4,1709,1612,900,577,1332,0.433,183,541,0.338,372,508,0.732,230,766,281,190,69,207,403
30,Brigham Young,20,17,3,0.85,23.95,8.15,5,2,9,1,2,1,1733,1417,800,608,1251,0.486,180,506,0.356,337,449,0.751,253,802,304,168,97,218,301
31,Brown,18,7,11,0.389,-8.98,-4.85,1,4,5,5,2,6,1287,1214,735,473,1082,0.437,133,403,0.33,208,294,0.707,199,658,280,138,81,218,313
32,Bryant,20,6,14,0.3,-16.48,-3.76,2,4,5,3,1,11,1256,1423,805,437,1112,0.393,156,546,0.286,226,311,0.727,206,682,249,124,94,272,320
33,Bucknell,22,6,16,0.273,-14.26,-4.08,3,6,4,4,2,9,1464,1688,886,505,1229,0.411,167,536,0.312,287,377,0.761,208,686,283,156,45,293,395
34,Buffalo,21,14,7,0.667,-1.29,-4.76,4,5,6,4,6,3,1680,1569,845,557,1156,0.482,204,520,0.392,362,491,0.737,194,676,312,162,53,219,343
35,Butler,21,13,8,0.619,13.51,7.27,4,6,9,3,1,5,1741,1610,850,593,1266,0.468,161,466,0.345,394,561,0.702,272,819,336,147,75,247,319
36,Cal Poly,21,7,14,0.333,-7.96,1.14,3,6,4,5,3,8,1676,1821,845,540,1280,0.422,226,678,0.333,370,491,0.754,236,795,263,132,44,338,420
37,Cal State Bakersfield,21,8,13,0.381,-10.66,-1.19,2,7,6,5,2,8,1522,1649,840,508,1225,0.415,103,348,0.296,403,542,0.744,251,743,222,163,107,283,424
38,Cal State Fullerton,22,10,12,0.455,-2.49,1.11,5,5,6,3,3,8,1866,1834,880,641,1403,0.457,192,578,0.332,392,560,0.7,228,784,361,187,59,258,420
39,Cal State Northridge,21,11,10,0.524,-4.57,-0.89,4,5,8,1,3,7,1688,1682,840,606,1364,0.444,151,472,0.32,325,490,0.663,287,878,342,150,53,284,391
40,California,21,15,6,0.714,12.95,5.65,3,5,13,2,1,4,1636,1468,840,543,1219,0.445,189,518,0.365,361,457,0.79,194,736,294,129,73,209,388
41,California Baptist,21,15,6,0.714,1.37,-2.68,5,3,10,0,4,5,1540,1455,850,543,1238,0.439,122,386,0.316,332,460,0.722,300,847,224,119,57,268,397
42,Campbell,21,9,12,0.429,-4.74,1.84,3,5,7,1,1,11,1687,1672,840,572,1255,0.456,155,477,0.325,388,547,0.709,274,761,264,145,43,277,364
43,Canisius,21,8,13,0.381,-17.56,-7.11,3,7,6,3,2,10,1309,1477,840,453,1138,0.398,148,442,0.335,255,364,0.701,222,713,254,109,50,267,362
44,Central Arkansas,21,11,10,0.524,-2.35,-2.35,6,2,9,1,2,9,1669,1567,855,592,1317,0.45,221,663,0.333,264,379,0.697,231,776,346,178,31,242,338
45,Central Connecticut State,19,10,9,0.526,-10.69,-8.16,4,4,5,2,5,7,1450,1366,765,533,1115,0.478,147,381,0.386,237,316,0.75,180,665,278,116,84,198,247
46,Central Michigan,21,6,15,0.286,-11.21,-1.57,2,7,5,4,0,10,1530,1648,840,564,1244,0.453,127,424,0.3,275,384,0.716,218,696,321,133,90,259,377
47,Charleston Southern,22,11,11,0.5,-5.74,-6.79,2,5,7,2,4,8,1852,1724,895,651,1441,0.452,274,763,0.359,276,430,0.642,271,953,380,102,105,289,482
48,Charlotte,21,12,9,0.571,0.36,-0.39,6,2,8,4,4,3,1562,1543,860,529,1148,0.461,179,499,0.359,325,456,0.713,245,733,276,102,77,251,371
49,Chattanooga,21,9,12,0.429,-10.76,-5.93,3,5,5,4,4,7,1604,1531,840,547,1219,0.449,231,638,0.362,279,363,0.769,165,697,327,125,51,198,394
50,Chicago State,21,2,19,0.095,-17.29,-0.84,0,8,1,5,1,14,1365,1671,845,487,1239,0.393,116,368,0.315,275,368,0.747,237,662,217,173,23,245,406
51,Cincinnati,21,11,10,0.524,12.48,7.15,3,5,11,2,0,5,1519,1407,840,542,1288,0.421,171,573,0.298,264,399,0.662,235,792,353,145,94,255,349
52,Clemson,21,17,4,0.81,17.8,5.84,7,1,10,1,4,2,1619,1368,850,559,1207,0.463,173,513,0.337,328,452,0.726,213,772,284,135,52,206,348
